z,upwp_D,upwp_S,u_D,u_S
6.85,10.215,8.45,9.96,8.27
6.88,10.255,8.527,10.04,8.34
6.9,10.293,8.603,10.11,8.42
6.93,10.331,8.679,10.19,8.49
6.95,10.369,8.755,10.27,8.57
6.98,10.406,8.831,10.35,8.64
7,10.442,8.906,10.43,8.72
7.03,10.477,8.98,10.5,8.79
7.05,10.512,9.055,10.58,8.87
7.08,10.546,9.129,10.66,8.95
7.1,10.579,9.202,10.74,9.03
7.13,10.612,9.275,10.82,9.1
7.15,10.644,9.347,10.9,9.18
7.18,10.676,9.419,10.97,9.26
7.2,10.707,9.491,11.05,9.34
7.23,10.737,9.562,11.13,9.42
7.25,10.767,9.632,11.21,9.5
7.28,10.796,9.702,11.29,9.58
7.3,10.824,9.771,11.37,9.66
7.33,10.852,9.839,11.45,9.74
7.35,10.879,9.907,11.53,9.83
7.38,10.906,9.974,11.61,9.91
7.4,10.932,10.04,11.69,9.99
7.43,10.957,10.106,11.77,10.07
7.45,10.982,10.17,11.85,10.16
7.48,11.006,10.234,11.92,10.24
7.5,11.03,10.298,12,10.33
7.53,11.053,10.36,12.08,10.41
7.55,11.075,10.422,12.16,10.49
7.58,11.097,10.482,12.24,10.58
7.6,11.118,10.542,12.32,10.66
7.63,11.139,10.601,12.4,10.75
7.65,11.159,10.66,12.48,10.83
7.68,11.178,10.717,12.56,10.92
7.7,11.197,10.773,12.64,11
7.73,11.215,10.829,12.72,11.09
7.75,11.233,10.884,12.8,11.18
7.78,11.25,10.937,12.88,11.26
7.8,11.266,10.99,12.96,11.35
7.83,11.282,11.042,13.04,11.43
7.85,11.297,11.092,13.12,11.52
7.88,11.312,11.142,13.2,11.61
7.9,11.327,11.191,13.28,11.69
7.93,11.34,11.239,13.36,11.78
7.95,11.353,11.286,13.44,11.86
7.98,11.366,11.334,13.52,11.95
8,11.377,11.386,13.6,12.04
8,11.389,11.389,13.6,12.04
8.14,11.274,11.274,14.02,12.49
8.29,11.159,11.159,14.45,12.94
8.43,11.044,11.044,14.86,13.38
8.58,10.929,10.929,15.28,13.82
8.72,10.814,10.814,15.69,14.26
8.87,10.699,10.699,16.09,14.69
9.01,10.584,10.584,16.49,15.11
9.16,10.469,10.469,16.88,15.53
9.3,10.354,10.354,17.27,15.93
9.44,10.239,10.239,17.65,16.33
9.59,10.124,10.124,18.02,16.73
9.73,10.009,10.009,18.39,17.11
9.88,9.894,9.894,18.75,17.49
10.02,9.779,9.779,19.1,17.85
10.17,9.664,9.664,19.44,18.21
10.31,9.549,9.549,19.77,18.56
10.46,9.434,9.434,20.1,18.89
10.6,9.318,9.318,20.42,19.22
10.74,9.203,9.203,20.72,19.54
10.89,9.088,9.088,21.03,19.85
11.03,8.973,8.973,21.32,20.15
11.18,8.858,8.858,21.6,20.44
11.32,8.743,8.743,21.88,20.72
11.47,8.628,8.628,22.14,20.99
11.61,8.513,8.513,22.4,21.25
11.76,8.398,8.398,22.65,21.51
11.9,8.283,8.283,22.9,21.75
12.04,8.168,8.168,23.13,21.99
12.19,8.053,8.053,23.36,22.22
